CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City,State,Zip Code,County Name,PhoneNumber,CMS Region,Ownership Type,Certification Date,Total Number of Beds,Location
192040,"SOUTHEAST REGIONAL MEDICAL CENTER, INC",719 AVENUE G,,KENTWOOD,LA,70444,Tangipahoa,(985) 229-9193,6,Non-profit,08/13/2001,14,"719 AVENUE G KENTWOOD, LA 70444 (30.936752, -90.519252)"
062011,CRAIG HOSPITAL,3425 SOUTH CLARKSON STREET,,ENGLEWOOD,CO,80113,Arapahoe,(303) 789-8000,8,Non-profit,10/01/1992,93,"3425 SOUTH CLARKSON STREET ENGLEWOOD, CO 80113 (39.654106, -104.978246)"
362035,ACUITY SPECIALTY HOSPITAL OHIO VALLEY,"4697 HARRISON STREET, 2ND FLOOR",,BELLAIRE,OH,43906,Belmont,(740) 671-2086,5,For profit,04/01/2006,72,"4697 HARRISON STREET, 2ND FLOOR BELLAIRE, OH 43906 (40.029885, -80.740897)"
252009,REGENCY HOSPITAL OF HATTIESBURG,6051 US HIGHWAY 49 5TH FLOOR,,HATTIESBURG,MS,39404,Forrest,(601) 288-8510,4,Government,06/01/2004,33,"6051 US HIGHWAY 49 5TH FLOOR HATTIESBURG, MS 39404 (31.319256, -89.328378)"
152012,KINDRED HOSPITAL NORTHWEST INDIANA,5454 HOHMAN AVE  5TH FL,,HAMMOND,IN,46320,Lake,(219) 852-5305,5,For profit,09/01/1996,70,"5454 HOHMAN AVE  5TH FL HAMMOND, IN 46320 (41.614505, -87.522018)"
452106,PAM SPECIALTY HOSPITAL OF NEW BRAUNFELS,1445 HANZ DRIVE,,NEW BRAUNFELS,TX,78130,Comal,(830) 627-7600,6,For profit,05/01/2008,40,"1445 HANZ DRIVE NEW BRAUNFELS, TX 78130 (29.727604, -98.100834)"
112016,"REGENCY HOSPITAL COMPANY OF MACON, LLC",535 COLISEUM DRIVE,,MACON,GA,31217,Bibb,(478) 803-7300,4,For profit,11/01/2004,34,"535 COLISEUM DRIVE MACON, GA 31217 (32.847481, -83.616679)"
262018,KINDRED HOSPITAL NORTHLAND,500 NW 68TH STREET,,KANSAS CITY,MO,64118,Clay,(816) 420-6300,7,For profit,05/06/2008,35,"500 NW 68TH STREET KANSAS CITY, MO 64118 (39.218119, -94.585534)"
282000,MADONNA REHABILITATION SPECIALTY HOSPITAL LINCOLN,5401 SOUTH ST,,LINCOLN,NE,68506,Lancaster,(402) 413-3000,7,Non-profit,07/01/1984,96,"5401 SOUTH ST LINCOLN, NE 68506 (40.791637, -96.647214)"
152025,CENTRAL INDIANA  AMG SPECIALTY HOSPITAL LLC,2401 W UNIVERSITY AVE 5TH FLOOR EAST TOWER,,MUNCIE,IN,47303,Delaware,(765) 751-5253,5,For profit,02/16/2005,32,
522008,SELECT SPECIALTY HOSPITAL MADISON,801 BRAXTON PLACE,,MADISON,WI,53715,Dane,(608) 260-2700,5,For profit,06/01/2007,23,"801 BRAXTON PLACE MADISON, WI 53715 (43.066283, -89.399724)"
372019,CORNERSTONE SPECIALTY HOSPITALS SHAWNEE,"1900 GORDON COOPER DRIVE, 2ND FLOOR",,SHAWNEE,OK,74801,Pottawatomie,(405) 395-5800,6,Non-profit,09/01/2005,34,"1900 GORDON COOPER DRIVE, 2ND FLOOR SHAWNEE, OK 74801 (35.297665, -96.92593)"
052054,MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,,MONROVIA,CA,91016,Los Angeles,(626) 359-9341,9,For profit,05/01/2009,49,"323 SOUTH HELIOTROPE AVENUE MONROVIA, CA 91016 (34.148733, -117.992155)"
372017,LANE FROST HEALTH AND REHABILITATION CENTER,2815 EAST JACKSON,,HUGO,OK,74743,Choctaw,(580) 326-9200,6,Non-profit,07/01/2004,60,"2815 EAST JACKSON HUGO, OK 74743 (34.001336, -95.482571)"
052034,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2800 BENEDICT DRIVE,,SAN LEANDRO,CA,94577,Alameda,(510) 357-8300,9,For profit,01/29/1993,99,"2800 BENEDICT DRIVE SAN LEANDRO, CA 94577 (37.717533, -122.131991)"
392028,CURAHEALTH PITTSBURGH,7777 STEUBENVILLE PIKE,,OAKDALE,PA,15071,Allegheny,(412) 494-5500,3,For profit,07/01/1996,63,"7777 STEUBENVILLE PIKE OAKDALE, PA 15071 (40.440138, -80.209893)"
222043,VIBRA HOSPITAL OF SOUTHEASTERN MASSACHUSETTS,4499 ACUSHNET AVENUE,,NEW BEDFORD,MA,02745,Bristol,(508) 995-6900,1,For profit,01/01/1993,90,"4499 ACUSHNET AVENUE NEW BEDFORD, MA 02745 (41.740044, -70.943956)"
492001,LAKE TAYLOR TRANSITIONAL CARE HOSPITAL,1309 KEMPSVILLE ROAD,,NORFOLK,VA,23502,Norfolk City,(757) 461-5001,3,Government,07/01/1966,296,"1309 KEMPSVILLE ROAD NORFOLK, VA 23502 (36.867396, -76.204454)"
342018,SELECT SPECIALTY HOSPITAL DURHAM INC,3643 NORTH ROXBORO ROAD 6TH FLOOR,,DURHAM,NC,27704,Durham,(919) 470-9010,4,For profit,02/01/2004,30,"3643 NORTH ROXBORO ROAD 6TH FLOOR DURHAM, NC 27704 (36.037439, -78.897037)"
102001,SELECT SPECIALTY HOSPITAL-MIAMI,955 NW 3RD STREET 8TH FLOOR,,MIAMI,FL,33128,Miami-Dade,(305) 416-5700,4,For profit,09/01/2003,47,"955 NW 3RD STREET 8TH FLOOR MIAMI, FL 33128 (25.776551, -80.21065)"
172007,SELECT SPECIALTY HOSPITAL WICHITA,"929 NORTH ST FRANCIS, 6TH FLOOR, NORTH TOWER",,WICHITA,KS,67214,Sedgwick,(316) 962-3930,7,For profit,01/01/2001,48,
232037,SPARROW SPECIALTY HOSPITAL,"1215 E MICHIGAN AVE, 8W SPARROW HOSPITAL TOWER",,LANSING,MI,48912,Ingham,(517) 364-6800,5,Non-profit,01/01/2005,36,"1215 E MICHIGAN AVE, 8W SPARROW HOSPITAL TOWER LANSING, MI 48912 (42.733609, -84.534816)"
192041,ZACHARY - A M G SPECIALTY HOSPITAL,"4601 MCHUGH ROAD, BLDG B",,ZACHARY,LA,70791,East Baton Rouge,(225) 683-1600,6,For profit,01/10/2003,16,"4601 MCHUGH ROAD, BLDG B ZACHARY, LA 70791 (30.645758, -91.139308)"
052031,BARLOW RESPIRATORY HOSPITAL,2000 STADIUM WAY,,LOS ANGELES,CA,90026,Los Angeles,(213) 250-4200,9,Non-profit,09/01/1984,99,"2000 STADIUM WAY LOS ANGELES, CA 90026 (34.075878, -118.248646)"
012014,NORTH ALABAMA SPECIALTY HOSPITAL,"700 WEST MARKET STREET, 2ND FLOOR",,ATHENS,AL,35611,Limestone,(337) 269-9566,4,For profit,05/01/2016,31,"700 WEST MARKET STREET, 2ND FLOOR ATHENS, AL 35611 (34.803499, -86.977803)"
102029,PROMISE HOSPITAL OF FORT MYERS,3050 CHAMPION RING ROAD,,FORT MYERS,FL,33905,Lee,(708) 363-4925,4,For profit,09/01/2015,60,"3050 CHAMPION RING ROAD FORT MYERS, FL 33905 (26.630887, -81.802028)"
392033,GOOD SHEPHERD SPECIALTY HOSPITAL,2545 SCHOENERSVILLE ROAD,,BETHLEHEM,PA,18017,Lehigh,(484) 884-5051,3,Non-profit,07/01/2000,32,"2545 SCHOENERSVILLE ROAD BETHLEHEM, PA 18017 (40.645477, -75.405941)"
182009,CONTINUECARE HOSPITAL AT BAPTIST HLTH MADISONVILLE,"900 HOSPITAL DRIVE, 4TH FLOOR",,MADISONVILLE,KY,42431,Hopkins,(270) 825-5450,4,Non-profit,04/01/2016,35,"900 HOSPITAL DRIVE, 4TH FLOOR MADISONVILLE, KY 42431 (37.339177, -87.493845)"
102012,CURAHEALTH JACKSONVILLE LLC,4901 RICHARD ST,,JACKSONVILLE,FL,32207,Duval,(904) 737-3120,4,For profit,05/01/1993,107,"4901 RICHARD ST JACKSONVILLE, FL 32207 (30.271029, -81.616762)"
292006,COMPLEX CARE HOSPITAL AT TENAYA,2500 TENAYA WAY,,LAS VEGAS,NV,89128,Clark,(702) 562-2021,9,For profit,01/01/2002,70,"2500 TENAYA WAY LAS VEGAS, NV 89128 (36.205523, -115.251416)"
362038,ADVANCED SPECIALTY HOSPITAL OF TOLEDO,1015 GARDEN LAKE PARKWAY,,TOLEDO,OH,43614,Lucas,(419) 381-0037,5,For profit,03/01/2009,40,"1015 GARDEN LAKE PARKWAY TOLEDO, OH 43614 (41.619814, -83.59727)"
312023,ACUITY SPECIALTY HOSPITAL OF NEW JERSEY,1925 PACIFIC AVENUE 5TH FLOOR,,ATLANTIC CITY,NJ,08401,Atlantic,(609) 441-2122,2,For profit,06/01/2010,30,"1925 PACIFIC AVENUE 5TH FLOOR ATLANTIC CITY, NJ 08401 (39.357791, -74.433942)"
372022,CORNERSTONE SPECIALTY HOSPITALS MUSKOGEE,351 SOUTH 40TH STREET,,MUSKOGEE,OK,74401,Muskogee,(918) 682-6161,6,For profit,07/01/2007,64,"351 SOUTH 40TH STREET MUSKOGEE, OK 74401 (35.75281, -95.411622)"
452101,SOLARA HOSPITAL HARLINGEN,508 VICTORIA LANE,,HARLINGEN,TX,78550,Cameron,(682) 831-9670,6,For profit,08/01/2007,41,"508 VICTORIA LANE HARLINGEN, TX 78550 (26.159907, -97.67358)"
112007,WELLSTAR WINDY HILL HOSPITAL,2540 WINDY HILL ROAD,,MARIETTA,GA,30067,Cobb,(770) 644-1081,4,Non-profit,07/01/1997,115,"2540 WINDY HILL ROAD MARIETTA, GA 30067 (33.90123, -84.479258)"
242005,REGENCY HOSPITAL OF MINNEAPOLIS LLC,1300 HIDDEN LAKES PARKWAY,,GOLDEN VALLEY,MN,55422,Hennepin,(763) 302-8301,5,For profit,06/01/1995,92,"1300 HIDDEN LAKES PARKWAY GOLDEN VALLEY, MN 55422 (44.992348, -93.332977)"
372007,"SELECT SPECIALTY HOSPITAL - TULSA/MIDTOWN, LLC","1125 SOUTH TRENTON, 2ND & 3RD FLOOR",,TULSA,OK,74120,Tulsa,(918) 579-7301,6,For profit,09/01/1994,56,
192048,P A M SPECIALTY HOSPITAL OF COVINGTON,20050 CRESTWOOD BLVD,,COVINGTON,LA,70433,St. Tammany,(985) 875-7525,6,For profit,01/30/2004,58,"20050 CRESTWOOD BLVD COVINGTON, LA 70433 (30.45082, -90.06663)"
452057,NEXUS SPECIALTY HOSPITAL THE WOODLANDS,9182 SIX PINES DRIVE,,THE WOODLANDS,TX,77380,Montgomery,(713) 364-0317,6,For profit,04/23/1997,75,"9182 SIX PINES DRIVE THE WOODLANDS, TX 77380 (30.172344, -95.4612)"
452043,PINE VALLEY SPECIALTY HOSPITAL,6160 S LOOP EAST,,HOUSTON,TX,77087,Harris,(713) 640-2400,6,For profit,09/01/1994,59,"6160 S LOOP EAST HOUSTON, TX 77087 (29.695164, -95.317679)"
052047,VIBRA HOSPITAL OF NORTHERN CALIFORNIA,2801 EUREKA WAY,,REDDING,CA,96001,Shasta,(530) 246-9000,9,For profit,01/01/2006,56,"2801 EUREKA WAY REDDING, CA 96001 (40.585677, -122.414102)"
232036,HENRY FORD ALLEGIANCE SPECIALTY HOSPITAL,110 N ELM AVENUE,,JACKSON,MI,49202,Jackson,(517) 205-4463,5,Non-profit,03/01/2004,64,"110 N ELM AVENUE JACKSON, MI 49202 (42.252116, -84.384372)"
432002,SELECT SPECIALTY HOSPITAL - SOUTH DAKOTA,1305 WEST 18TH STREET,,SIOUX FALLS,SD,57105,Minnehaha,(605) 312-9520,8,For profit,03/01/1998,24,"1305 WEST 18TH STREET SIOUX FALLS, SD 57105 (43.536678, -96.743388)"
192055,LOUISIANA EXTENDED CARE HOSPITAL OF WEST MONROE,"503 MCMILLIAN ROAD, 3RD FLOOR",,WEST MONROE,LA,71291,Ouachita,(318) 329-4300,6,For profit,07/25/2005,21,
052038,KINDRED HOSPITAL -- LA MIRADA,14900 E IMPERIAL HWY,,LA MIRADA,CA,90638,Los Angeles,(562) 944-1900,9,For profit,11/01/1995,277,"14900 E IMPERIAL HWY LA MIRADA, CA 90638 (33.917123, -118.013454)"
072006,"STATE OF CONNECTICUT, DEPT OF VETERANS' AFFAIRS",287 WEST STREET,,ROCKY HILL,CT,06067,Hartford,(860) 529-2571,1,Government,07/01/1966,300,"287 WEST STREET ROCKY HILL, CT 06067 (41.653404, -72.650091)"
252012,"REGENCY HOSPITAL OF JACKSON, LLC","969 LAKELAND DRIVE, 6TH FLOOR",,JACKSON,MS,39216,Hinds,(601) 364-6200,4,For profit,10/01/2006,36,"969 LAKELAND DRIVE, 6TH FLOOR JACKSON, MS 39216 (32.333691, -90.165103)"
312020,KINDRED HOSPITAL NEW JERSEY - MORRIS COUNTY,400 WEST BLACKWELL STREET,,DOVER,NJ,07801,Morris,(973) 537-3816,2,For profit,03/01/2005,117,"400 WEST BLACKWELL STREET DOVER, NJ 07801 (40.886051, -74.576945)"
042010,CORNERSTONE HOSPITAL LITTLE ROCK,"2 ST VINCENT CIRCLE, 6TH FLOOR",,LITTLE ROCK,AR,72205,Pulaski,(501) 265-0622,6,For profit,06/01/2007,40,"2 ST VINCENT CIRCLE, 6TH FLOOR LITTLE ROCK, AR 72205 (34.750183, -92.338251)"
392027,KINDRED HOSPITAL PHILADELPHIA,6129 PALMETTO STREET,,LAWNCREST,PA,19111,Philadelphia,(215) 722-8555,3,For profit,10/01/1995,52,"6129 PALMETTO STREET LAWNCREST, PA 19111 (40.046066, -75.097431)"
452114,ATRIUM MEDICAL CENTER,"11929 W AIRPORT BLVD, SUITE 110",,STAFFORD,TX,77477,Fort Bend,(281) 207-8200,6,Physician,08/30/2007,68,"11929 W AIRPORT BLVD, SUITE 110 STAFFORD, TX 77477 (29.647751, -95.588228)"
382004,VIBRA SPECIALTY HOSPITAL OF PORTLAND,10300 NE HANCOCK STREET,,PORTLAND,OR,97220,Multnomah,(503) 257-5500,10,For profit,02/01/2008,73,"10300 NE HANCOCK STREET PORTLAND, OR 97220 (45.536305, -122.557158)"
342020,SELECT SPECIALTY HOSPITAL-GREENSBORO,"1200 NORTH ELM STREET, 5TH FLOOR",,GREENSBORO,NC,27401,Guilford,(336) 832-7000,4,For profit,05/01/2010,30,"1200 NORTH ELM STREET, 5TH FLOOR GREENSBORO, NC 27401 (36.090652, -79.788815)"
442017,REGIONAL ONE HEALTH EXTENDED CARE HOSPITAL,"890 MADISON AVENUE, 4TH FLOOR",,MEMPHIS,TN,38103,Shelby,(901) 513-3000,4,Non-profit,02/03/2014,30,"890 MADISON AVENUE, 4TH FLOOR MEMPHIS, TN 38103 (35.140373, -90.03139)"
152028,VIBRA HOSPITAL OF NORTHWESTERN INDIANA,9509 GEORGIA ST,,CROWN POINT,IN,46307,Lake,(219) 472-2200,5,For profit,02/01/2009,40,"9509 GEORGIA ST CROWN POINT, IN 46307 (41.444318, -87.326217)"
342015,CAROLINAS CONTINUECARE HOSPITAL AT PINEVILLE,"10648 PARK RD, 3RD FL",,CHARLOTTE,NC,28210,Mecklenburg,(704) 379-5117,4,Non-profit,08/01/2003,40,"10648 PARK RD, 3RD FL CHARLOTTE, NC 28210 (35.092031, -80.869112)"
362024,SELECT SPECIALTY HOSPITAL - YOUNGSTOWN,1044 BELMONT AVE,,YOUNGSTOWN,OH,44501,Mahoning,(330) 841-4750,5,For profit,06/23/1999,31,"1044 BELMONT AVE YOUNGSTOWN, OH 44501 (41.114321, -80.65571)"
012010,"NOLAND HOSPITAL DOTHAN II, LLC","1108 ROSS CLARK CIRCLE, 4TH FLOOR",,DOTHAN,AL,36302,Houston,(334) 699-4300,4,Non-profit,10/01/2004,35,"1108 ROSS CLARK CIRCLE, 4TH FLOOR DOTHAN, AL 36302 (31.214058, -85.361725)"
442007,KINDRED HOSPITAL - CHATTANOOGA,709 WALNUT STREET,,CHATTANOOGA,TN,37402,Hamilton,(423) 266-7721,4,For profit,10/01/1993,49,"709 WALNUT STREET CHATTANOOGA, TN 37402 (35.047959, -85.307419)"
192010,"PROMISE HOSPITAL OF LOUISIANA, INC",1800 IRVING PLACE,,SHREVEPORT,LA,71101,Caddo,(318) 425-4096,6,For profit,01/01/1994,196,"1800 IRVING PLACE SHREVEPORT, LA 71101 (32.493978, -93.744499)"
192030,"ST THERESA SPECIALTY HOSPITAL, LLC",3601 LOYOLA DRIVE,,KENNER,LA,70065,Jefferson,(504) 461-2249,6,For profit,02/05/2001,42,"3601 LOYOLA DRIVE KENNER, LA 70065 (30.024223, -90.269484)"
452083,MID-JEFFERSON EXTENDED CARE HOSPITAL,2600 HWY 365,,NEDERLAND,TX,77627,Jefferson,(409) 726-8700,6,For profit,10/01/2003,48,"2600 HWY 365 NEDERLAND, TX 77627 (29.9554, -93.985594)"
452055,CORNERSTONE SPECIALTY HOSPITALS MEDICAL CENTER,2001 HERMANN DRIVE,,HOUSTON,TX,77004,Harris,(832) 649-6200,6,For profit,03/01/1997,35,"2001 HERMANN DRIVE HOUSTON, TX 77004 (29.718079, -95.383386)"
522006,SELECT SPECIALTY HOSPITAL MILWAUKEE,8901 W LINCOLN AVE  2ND FLOOR,,WEST ALLIS,WI,53227,Milwaukee,(414) 328-7700,5,For profit,10/31/1999,63,"8901 W LINCOLN AVE  2ND FLOOR WEST ALLIS, WI 53227 (43.002702, -88.023065)"
112003,SHEPHERD CENTER,2020 PEACHTREE RD NW,,ATLANTA,GA,30309,Fulton,(404) 350-7311,4,Non-profit,04/01/1984,152,"2020 PEACHTREE RD NW ATLANTA, GA 30309 (33.809618, -84.393025)"
312019,SELECT SPECIALTY HOSPITAL NORTHEAST,96 PARKWAY,,ROCHELLE PARK,NJ,07662,Bergen,(201) 221-2352,2,Non-profit,11/01/2004,62,"96 PARKWAY ROCHELLE PARK, NJ 07662 (40.89757, -74.076)"
142009,THC CHICAGO INC DBA KINDRED CHICAGO,4058 W MELROSE,,CHICAGO,IL,60641,Cook,(773) 736-7000,5,For profit,07/04/1994,94,"4058 W MELROSE CHICAGO, IL 60641 (41.94, -87.728668)"
452051,UT HEALTH EAST TEXAS SPECIALTY HOSPITAL,1000 S BECKHAM FL 5,,TYLER,TX,75701,Smith,(903) 535-6551,6,Non-profit,05/01/1995,36,"1000 S BECKHAM FL 5 TYLER, TX 75701 (32.338102, -95.291862)"
452067,PROMISE HOSPITAL OF DALLAS,7955 HARRY HINES BLVD,,DALLAS,TX,75235,Dallas,(214) 637-0000,6,For profit,10/15/1996,66,"7955 HARRY HINES BLVD DALLAS, TX 75235 (32.83301, -96.860567)"
192023,ST CATHERINE MEMORIAL HOSPITAL,14500 HAYNE BLVD,,NEW ORLEANS,LA,70128,Orleans,(504) 210-3000,6,Non-profit,01/01/1999,21,"14500 HAYNE BLVD NEW ORLEANS, LA 70128 (30.071445, -89.949096)"
062015,KINDRED HOSPITAL - DENVER SOUTH,2525 S DOWNING ST 3RD FLOOR,,DENVER,CO,80210,Denver,(303) 715-7373,8,For profit,10/01/2000,65,"2525 S DOWNING ST 3RD FLOOR DENVER, CO 80210 (39.67064, -104.973482)"
042004,CHRISTUS DUBUIS HOSPITAL OF HOT SPRINGS,"300 WERNER STREET, 3RD FLOOR",,HOT SPRINGS,AR,71913,Garland,(501) 609-4300,6,For profit,10/01/1999,27,"300 WERNER STREET, 3RD FLOOR HOT SPRINGS, AR 71913 (34.466035, -93.066396)"
222047,WHITTIER REHABILITATION HOSPITAL - BRADFORD,145 WARD HILL AVENUE,,BRADFORD,MA,01835,Essex,(978) 372-8000,1,For profit,10/01/2005,60,"145 WARD HILL AVENUE BRADFORD, MA 01835 (42.762024, -71.118034)"
252003,SELECT SPECIALTY HOSPITAL - BELHAVEN,1225 NORTH STATE STREET,,JACKSON,MS,39202,Hinds,(601) 968-1260,4,For profit,08/17/1993,25,"1225 NORTH STATE STREET JACKSON, MS 39202 (32.314278, -90.178228)"
102022,SELECT SPECIALTY HOSPITAL GAINESVILLE INC,1600 SW ARCHER RD 5TH FLOOR,,GAINESVILLE,FL,32610,Alachua,(352) 265-0055,4,For profit,08/01/2008,44,"1600 SW ARCHER RD 5TH FLOOR GAINESVILLE, FL 32610 (29.639223, -82.343325)"
102017,SELECT SPECIALTY HOSPITAL - PANAMA CITY,615 N BONITA AVE,,PANAMA CITY,FL,32401,Bay,(850) 767-3180,4,Government,08/01/2004,30,"615 N BONITA AVE PANAMA CITY, FL 32401 (30.159681, -85.647067)"
252013,ALLEGIANCE SPECIALTY HOSPITAL OF GREENVILLE,"300 SOUTH WASHINGTON AVE, 3RD FLOOR",,GREENVILLE,MS,38701,Washington,(662) 332-7344,4,For profit,11/01/2011,39,"300 SOUTH WASHINGTON AVE, 3RD FLOOR GREENVILLE, MS 38701 (33.404101, -91.051617)"
422009,REGENCY HOSPITAL OF GREENVILLE,"1 ST FRANCIS DRIVE, 4TH FLOOR",,GREENVILLE,SC,29601,Greenville,(864) 255-1401,4,For profit,08/01/2005,32,
492010,CENTRA SPECIALTY HOSPITAL,"3300 RIVERMONT AVENUE,  KRISE BUILDING, 5TH FLOOR",,LYNCHBURG,VA,24503,Lynchburg City,(434) 200-1960,3,Non-profit,01/01/2008,36,"3300 RIVERMONT AVENUE,  KRISE BUILDING, 5TH FLOOR LYNCHBURG, VA 24503 (37.439227, -79.18859)"
112018,"LANDMARK HOSPITAL OF SAVANNAH, LLC",800 E 68TH STREET,,SAVANNAH,GA,31405,Chatham,(573) 331-8420,4,For profit,11/26/2014,50,"800 E 68TH STREET SAVANNAH, GA 31405 (32.028228, -81.095018)"
172005,SELECT SPECIALTY HOSPITAL OF KS CITY,1731 NORTH 90TH STREET,,KANSAS CITY,KS,66112,Wyandotte,(913) 732-5930,7,For profit,04/30/1996,40,"1731 NORTH 90TH STREET KANSAS CITY, KS 66112 (39.124527, -94.788552)"
362037,SELECT SPECIALTY HOSPITAL COLUMBUS,1430 SOUTH HIGH STREET,,COLUMBUS,OH,43207,Franklin,(614) 456-0339,5,For profit,07/01/2008,43,"1430 SOUTH HIGH STREET COLUMBUS, OH 43207 (39.932672, -82.995931)"
362027,SELECT SPECIALTY HOSPITAL-AKRON,200 EAST MARKET STREET,,AKRON,OH,44308,Summit,(330) 761-7500,5,For profit,12/01/2000,34,"200 EAST MARKET STREET AKRON, OH 44308 (41.083275, -81.511862)"
392045,"SELECT SPECIALTY HOSPITAL - MCKEESPORT, INC",1500 FIFTH AVENUE,,MC KEESPORT,PA,15132,Allegheny,(412) 664-2900,3,For profit,09/01/2004,30,"1500 FIFTH AVENUE MC KEESPORT, PA 15132 (40.3523, -79.849218)"
452094,PAM SPECIALTY HOSPITAL OF VICTORIA NORTH,102 MEDICAL DRIVE,,VICTORIA,TX,77904,Victoria,(361) 576-6200,6,For profit,09/01/2005,26,"102 MEDICAL DRIVE VICTORIA, TX 77904 (28.854304, -97.021461)"
192006,CORNERSTONE SPECIALTY HOSPITALS BOSSIER CITY,4900 MEDICAL DRIVE,,BOSSIER CITY,LA,71112,Bossier,(318) 747-9500,6,For profit,09/30/1991,62,"4900 MEDICAL DRIVE BOSSIER CITY, LA 71112 (32.460624, -93.667827)"
452111,ATRIUM MEDICAL CENTER AT CORINTH,2813 S MAYHILL ROAD 2ND FLOOR,,DENTON,TX,76208,Denton,(940) 320-2300,6,For profit,10/17/2007,60,"2813 S MAYHILL ROAD 2ND FLOOR DENTON, TX 76208 (33.175894, -97.088288)"
112010,KINDRED HOSPITAL ROME,320 TURNER MCCALL BOULEVARD,,ROME,GA,30165,Floyd,(706) 509-4100,4,For profit,07/01/2001,45,"320 TURNER MCCALL BOULEVARD ROME, GA 30165 (34.260434, -85.178562)"
422006,CONTINUECARE HOSPITAL AT PALMETTO HEALTH BAPTIST,1330 TAYLOR AT MARION STREET,,COLUMBIA,SC,29201,Richland,(803) 296-3757,4,Non-profit,08/01/1999,35,"1330 TAYLOR AT MARION STREET COLUMBIA, SC 29201 (34.007233, -81.033728)"
252007,SELECT SPECIALTY HOSPITAL JACKSON,5903 RIDGEWOOD ROAD,,JACKSON,MS,39211,Hinds,(601) 899-3800,4,Non-profit,03/01/2003,53,"5903 RIDGEWOOD ROAD JACKSON, MS 39211 (32.389929, -90.141609)"
322004,ADVANCED CARE HOSPITAL OF SOUTHERN NEW MEXICO LLC,4451 EAST LOHMAN AVENUE,,LAS CRUCES,NM,88011,Dona Ana,(575) 521-6600,6,Government,03/01/2009,20,"4451 EAST LOHMAN AVENUE LAS CRUCES, NM 88011 (32.325583, -106.723142)"
452112,ICON HOSPITAL,19211 MCKAY BLVD,,HUMBLE,TX,77338,Harris,(704) 887-7283,6,Physician,02/01/2009,54,"19211 MCKAY BLVD HUMBLE, TX 77338 (29.998701, -95.275506)"
262014,SELECT SPECIALTY HOSPITAL - WESTERN MISSOURI,"2316 EAST MEYER BOULEVARD, 3-WEST",,KANSAS CITY,MO,64132,Jackson,(816) 276-9444,7,For profit,08/18/2005,34,"2316 EAST MEYER BOULEVARD, 3-WEST KANSAS CITY, MO 64132 (39.007169, -94.558731)"
152007,KINDRED HOSPITAL INDIANAPOLIS,1700 W 10TH ST,,INDIANAPOLIS,IN,46222,Marion,(317) 636-4400,5,For profit,02/01/1994,59,"1700 W 10TH ST INDIANAPOLIS, IN 46222 (39.780806, -86.190933)"
