"Country","Year","Medical doctors (per 10 000 population)","Medical doctors (number)","Generalist medical practitioners (number)","Specialist medical practitioners (number)","Medical doctors not further defined (number)"
"Madagascar"," 2005","1.801","3303","","","3303"
"Madagascar"," 2004","1.562","2780","","","2780"
"Madagascar"," 2003","1.476","2550","","","2550"
"Madagascar"," 2002","1.362","2283","","","2283"
"Malawi"," 2016","0.157","284","","","284"
"Malawi"," 2009","0.180","265","","","265"
"Malawi"," 2008","0.180","257","","","257"
"Malawi"," 2004","0.210","266","","","266"
"Malaysia"," 2015","15.132","46491","","","46491"
"Malaysia"," 2012","13.273","38718","","","38718"
"Malaysia"," 2011","12.784","36607","","","36607"
"Malaysia"," 2010","11.731","32979","","","32979"
"Malaysia"," 2008","9.259","25102","","","25102"
"Malaysia"," 2002","7.033","17020","","","17020"
"Malaysia"," 2000","6.964","16146","","","16146"
"Maldives"," 2016","10.379","444","287","157",""
"Maldives"," 2015","31.381","1313","941","372",""
"Maldives"," 2014","18.863","770","464","306",""
"Maldives"," 2010","14.403","525","","","525"
"Maldives"," 2009","14.838","526","","","526"
"Maldives"," 2007","16.424","552","","","552"
"Maldives"," 2004","9.729","302","","","302"
"Maldives"," 1996","6.672","173","","","173"
"Maldives"," 1993","2.845","69","","","69"
"Maldives"," 1991","1.915","44","","","44"
"Maldives"," 1989","","39","","","39"
"Mali"," 2016","1.393","2506","","","2506"
"Mali"," 2012","1.069","1711","","","1711"
"Mali"," 2011","1.035","1609","","","1609"
"Mali"," 2010","1.019","1536","","","1536"
"Mali"," 2009","0.922","1346","","","1346"
"Mali"," 2007","0.775","1060","","","1060"
"Mali"," 2004","0.850","1053","","","1053"
"Malta"," 2015","38.260","1636","","","1636"
"Malta"," 2014","36.795","1566","","","1566"
"Malta"," 2013","34.641","1466","","","1466"
"Malta"," 2012","32.818","1381","","","1381"
"Malta"," 2011","31.525","1319","","","1319"
"Malta"," 2010","30.738","1279","","","1279"
"Marshall Islands"," 2012","4.554","24","","","24"
"Marshall Islands"," 2011","6.286","33","","","33"
"Marshall Islands"," 2010","6.107","32","","","32"
"Marshall Islands"," 2007","5.950","31","","","31"
"Mauritania"," 2017","1.790","791","","","791"
"Mauritania"," 2015","1.655","692","","","692"
"Mauritania"," 2014","1.531","622","","","622"
"Mauritania"," 2010","1.515","547","338","209",""
"Mauritania"," 2009","1.269","445","","","445"
"Mauritania"," 2004","1.029","313","","","313"
"Mauritius"," 2015","20.246","2550","","","2550"
"Mauritius"," 2014","19.321","2429","","","2429"
"Mauritius"," 2013","16.299","2046","","","2046"
"Mauritius"," 2012","13.739","1722","","","1722"
"Mauritius"," 2011","14.468","1810","","400","1410"
"Mauritius"," 2010","12.019","1500","","","1500"
"Mauritius"," 2009","11.857","1475","","","1475"
"Mauritius"," 2008","11.700","1450","","","1450"
"Mauritius"," 2007","11.549","1425","","","1425"
"Mauritius"," 2004","10.718","1303","","","1303"
"Mexico"," 2016","22.478","286685","","","286685"
"Mexico"," 2015","22.513","283414","","","283414"
"Mexico"," 2014","21.383","265621","","","265621"
"Mexico"," 2013","20.915","256281","","","256281"
"Mexico"," 2012","20.497","247662","","","247662"
"Mexico"," 2011","20.405","243008","","","243008"
"Mexico"," 2010","21.747","255133","200860","54273",""
"Mexico"," 2000","19.259","195897","","","195897"
"Micronesia (Federated States of)"," 2009","1.923","20","","","20"
"Micronesia (Federated States of)"," 2008","6.124","64","","","64"
"Micronesia (Federated States of)"," 2005","5.838","62","","","62"
"Micronesia (Federated States of)"," 2003","5.618","60","","","60"
"Micronesia (Federated States of)"," 2000","5.959","64","","","64"
"Monaco"," 2014","65.617","250","","","250"
"Monaco"," 2013","65.789","250","","","250"
"Monaco"," 2012","67.196","254","","","254"
"Monaco"," 2011","66.667","250","","","250"
"Mongolia"," 2016","28.866","8739","6466","2273",""
"Mongolia"," 2015","32.426","9653","","","9653"
"Mongolia"," 2014","31.807","9300","","","9300"
"Mongolia"," 2013","31.059","8911","","","8911"
"Mongolia"," 2012","30.549","8597","","","8597"
"Mongolia"," 2011","28.763","7943","","","7943"
"Mongolia"," 2010","27.637","7497","","","7497"
"Mongolia"," 2009","26.759","7140","","","7140"
"Mongolia"," 2008","28.857","7584","","","7584"
"Mongolia"," 2002","27.548","6732","","","6732"
"Montenegro"," 2015","23.337","1466","","","1466"
"Montenegro"," 2014","21.794","1368","","","1368"
"Montenegro"," 2013","21.336","1338","","","1338"
"Montenegro"," 2012","20.227","1267","","","1267"
"Montenegro"," 2011","20.000","1251","","","1251"
"Montenegro"," 2010","20.311","1268","","","1268"
"Morocco"," 2017","7.273","25992","9083","16909",""
"Morocco"," 2014","6.104","20947","","","20947"
"Morocco"," 2013","6.300","21309","","","21309"
"Morocco"," 2009","6.465","20682","","","20682"
"Morocco"," 2007","5.851","18269","","","18269"
"Morocco"," 2004","5.299","15991","","","15991"
"Mozambique"," 2017","0.735","2180","1555","625",""
"Mozambique"," 2013","0.549","1452","","","1452"
"Mozambique"," 2012","0.529","1358","","","1358"
"Mozambique"," 2011","0.508","1268","","","1268"
"Mozambique"," 2010","0.473","1145","","","1145"
"Mozambique"," 2009","0.443","1042","","","1042"
"Mozambique"," 2006","0.254","548","","","548"
"Mozambique"," 2004","0.253","514","","","514"
"Myanmar"," 2017","8.640","46110","","","46110"
"Myanmar"," 2016","6.214","32861","","","32861"
"Myanmar"," 2012","5.851","29832","","","29832"
"Myanmar"," 2011","5.554","28077","","","28077"
"Myanmar"," 2010","5.271","26435","","","26435"
"Myanmar"," 2009","4.927","24536","","","24536"
"Myanmar"," 2008","4.792","23709","","","23709"
"Myanmar"," 2007","4.433","21799","","","21799"
"Myanmar"," 2006","4.197","20501","","","20501"
"Myanmar"," 2005","3.833","18584","","","18584"
"Myanmar"," 2004","3.701","17791","","","17791"
"Myanmar"," 1988","","12268","","","12268"
"Namibia"," 2007","3.721","774","","","774"
"Namibia"," 2004","2.976","598","","","598"
"Nauru"," 2015","12.389","14","","","14"
"Nauru"," 2011","13.725","14","","","14"
"Nauru"," 2010","11.000","11","","","11"
"Nauru"," 2009","10.101","10","","","10"
"Nauru"," 2008","10.101","10","","","10"
"Nauru"," 2004","9.901","10","","","10"
"Nauru"," 1995","16.000","16","","","16"
"Nepal"," 2017","6.507","19069","","","19069"
"Nepal"," 2014","5.951","16854","","","16854"
"Nepal"," 2013","5.425","15181","","","15181"
"Nepal"," 2012","5.036","13925","","","13925"
"Nepal"," 2004","2.127","5384","","","5384"
"Netherlands"," 2016","35.067","59569","","","59569"
"Netherlands"," 2015","34.875","59073","","","59073"
"Netherlands"," 2014","34.200","57762","","","57762"
"Netherlands"," 2013","33.065","55681","","","55681"
"Netherlands"," 2012","32.468","54511","","","54511"
"Netherlands"," 2011","31.245","52295","","","52295"
"Netherlands"," 2010","29.516","49242","","","49242"
"New Zealand"," 2016","30.252","14100","","","14100"
"New Zealand"," 2015","30.003","13845","","","13845"
"New Zealand"," 2014","28.073","12820","","","12820"
"New Zealand"," 2013","27.856","12584","","","12584"
"New Zealand"," 2012","26.788","11968","","","11968"
"New Zealand"," 2011","26.331","11634","","","11634"
"New Zealand"," 2010","26.114","11412","","","11412"
"New Zealand"," 2007","23.049","9757","","","9757"
"New Zealand"," 2002","20.665","8190","","","8190"
"New Zealand"," 2001","23.099","9027","","","9027"
"Nicaragua"," 2018","10.056","6320","2119","2243","1958"
"Nicaragua"," 2014","9.137","5495","","","5495"
"Nicaragua"," 2013","9.158","5445","","","5445"
"Nicaragua"," 2012","8.759","5148","","","5148"
"Nicaragua"," 2011","8.270","4803","","","4803"
"Nicaragua"," 2010","7.388","4239","","","4239"
"Nicaragua"," 2009","7.129","4040","","","4040"
"Nicaragua"," 2008","6.571","3676","","","3676"
"Nicaragua"," 2007","5.329","2943","","","2943"
"Nicaragua"," 2006","4.981","2715","","","2715"
"Nicaragua"," 2005","5.051","2717","","","2717"
"Nicaragua"," 2003","3.902","2045","","","2045"
"Niger"," 2014","0.500","958","","","958"
"Niger"," 2013","0.513","946","","","946"
"Niger"," 2009","0.278","439","","","439"
"Niger"," 2008","0.189","288","","","288"
"Niger"," 2004","0.225","296","","","296"
"Nigeria"," 2013","3.827","65759","","","65759"
"Nigeria"," 2010","1.836","29120","","","29120"
"Nigeria"," 2009","3.780","58363","","","58363"
"Nigeria"," 2008","3.760","56526","","","56526"
"Nigeria"," 2007","3.782","55376","","","55376"
"Nigeria"," 2006","3.479","49612","","","49612"
"Nigeria"," 2005","2.822","39210","","","39210"
"Nigeria"," 2003","2.646","34923","","","34923"
"Niue"," 2008","18.750","3","","","3"
"Niue"," 2006","23.529","4","","","4"
"Niue"," 2004","23.529","4","","","4"
"Niue"," 2003","22.222","4","","","4"
"Niue"," 1996","14.286","3","","","3"
"Norway"," 2017","46.336","24583","","","24583"
"Norway"," 2016","44.948","23619","","","23619"
"Norway"," 2015","43.940","22848","","","22848"
"Norway"," 2014","44.266","22754","","","22754"
"Norway"," 2013","43.084","21874","","","21874"
"Norway"," 2012","42.374","21238","","","21238"
"Norway"," 2011","41.927","20744","","","20744"
"Norway"," 2010","41.167","20114","","","20114"
"Norway"," 2009","40.560","19579","","","19579"
"Oman"," 2017","19.697","9132","","","9132"
"Oman"," 2016","20.184","8931","","","8931"
"Oman"," 2015","21.225","8914","","","8914"
"Oman"," 2014","21.841","8651","","","8651"
"Oman"," 2013","20.674","7673","","","7673"
"Oman"," 2012","20.363","7055","","","7055"
"Oman"," 2011","19.547","6328","","","6328"
"Oman"," 2010","19.273","5862","","","5862"
"Oman"," 2009","19.296","5563","","","5563"
"Oman"," 2008","18.826","5194","","","5194"
"Oman"," 2007","18.432","4908","","","4908"
"Oman"," 2006","17.727","4579","","","4579"
"Oman"," 2005","16.653","4182","","","4182"
"Oman"," 2004","15.834","3871","","","3871"
"Oman"," 2000","14.365","3258","","","3258"
"Oman"," 1999","9.641","2174","","","2174"
"Oman"," 1998","9.321","2099","","","2099"
"Oman"," 1997","8.539","1921","","","1921"
"Oman"," 1995","11.237","2477","","","2477"
"Oman"," 1990","7.952","1441","","","1441"
"Oman"," 1985","","958","","","958"
"Oman"," 1980","","514","","","514"
"Oman"," 1975","","147","","","147"
"Oman"," 1970","","13","","","13"
"Pakistan"," 2015","9.753","184711","","","184711"
"Pakistan"," 2011","8.748","152368","","","152368"
"Pakistan"," 2010","8.496","144901","","","144901"
"Pakistan"," 2009","8.354","139555","","","139555"
"Pakistan"," 2008","8.187","133984","","","133984"
"Pakistan"," 2007","7.975","127859","","","127859"
"Pakistan"," 2005","8.209","126350","","","126350"
"Pakistan"," 2004","7.713","116298","","","116298"
"Pakistan"," 2001","6.797","96248","","","96248"
"Pakistan"," 2000","6.629","91823","","","91823"
"Pakistan"," 1999","6.433","87105","","","87105"
"Pakistan"," 1998","6.252","82682","","","82682"
"Pakistan"," 1997","6.079","78470","","","78470"
"Pakistan"," 1996","5.894","74229","","","74229"
"Pakistan"," 1995","5.674","69691","","","69691"
"Pakistan"," 1994","5.527","66196","","","66196"
"Pakistan"," 1993","5.396","63003","","","63003"
"Pakistan"," 1992","5.279","60042","","","60042"
"Palau"," 2014","11.848","25","","","25"
"Palau"," 2010","14.146","29","","","29"
"Palau"," 2009","14.286","29","","","29"
"Palau"," 2006","13.000","26","","","26"
"Palau"," 1998","14.054","26","","","26"
"Panama"," 2016","15.699","6333","","","6333"
"Panama"," 2013","15.808","6068","","","6068"
"Panama"," 2012","15.969","6025","","","6025"
"Panama"," 2011","14.971","5551","","","5551"
"Panama"," 2010","14.056","5121","","","5121"
"Panama"," 2009","13.092","4686","","","4686"
"Panama"," 2008","13.807","4855","","","4855"
"Panama"," 2007","13.032","4501","","","4501"
"Panama"," 2006","13.488","4575","","","4575"
"Panama"," 2005","13.475","4488","","","4488"
"Panama"," 2004","13.216","4321","","","4321"
"Panama"," 2003","13.402","4301","","","4301"
"Panama"," 2002","13.346","4203","","","4203"
"Panama"," 2001","12.438","3843","","","3843"
"Panama"," 1999","12.325","3662","","","3662"
"Panama"," 1998","11.932","3475","","","3475"
"Panama"," 1997","12.033","3434","","","3434"
"Panama"," 1996","12.055","3371","","","3371"
"Panama"," 1995","11.666","3196","","","3196"
"Panama"," 1994","11.255","3021","","","3021"
"Panama"," 1993","11.777","3097","","","3097"
"Panama"," 1992","11.440","2947","","","2947"
"Panama"," 1991","11.220","2831","","","2831"
"Panama"," 1990","11.129","2750","","","2750"
"Papua New Guinea"," 2010","0.529","376","","","376"
"Papua New Guinea"," 2008","0.491","333","","","333"
"Papua New Guinea"," 2000","0.494","275","","","275"
"Paraguay"," 2018","13.660","9421","","","9421"
"Paraguay"," 2017","2.399","1634","","","1634"
"Paraguay"," 2012","12.859","8203","","","8203"
"Paraguay"," 2002","11.537","6355","","","6355"
"Peru"," 2016","12.700","40352","","","40352"
"Peru"," 2012","11.164","33669","","","33669"
"Peru"," 2009","9.404","27272","","","27272"
"Peru"," 2007","16.672","47170","","","47170"
"Peru"," 1999","11.658","29799","","","29799"
"Philippines"," 2010","12.750","119497","","","119497"
"Philippines"," 2009","12.658","116734","","","116734"
"Philippines"," 2008","12.579","114159","","","114159"
"Philippines"," 2007","12.457","111233","","","111233"
"Philippines"," 2006","12.372","108640","","","108640"
"Philippines"," 2005","12.296","106083","","","106083"
"Philippines"," 2004","11.085","93862","","","93862"
"Philippines"," 2003","12.259","101786","","","101786"
"Philippines"," 2002","11.109","90370","","","90370"
"Philippines"," 2001","12.202","97206","","","97206"
"Philippines"," 2000","12.185","95032","","","95032"
"Poland"," 2016","23.998","91730","","","91730"
"Poland"," 2015","23.112","88437","","","88437"
"Poland"," 2014","22.899","87687","","","87687"
"Poland"," 2013","22.252","85246","","","85246"
"Poland"," 2012","22.190","85025","","","85025"
"Poland"," 2011","21.978","84221","","","84221"
"Poland"," 2010","21.710","83201","","","83201"
"Portugal"," 2016","33.356","34595","","","34595"
"Portugal"," 2014","43.964","46036","","","46036"
"Portugal"," 2013","42.322","44555","","","44555"
"Portugal"," 2012","40.752","43123","","","43123"
"Portugal"," 2011","39.579","42054","","","42054"
"Portugal"," 2010","38.181","40672","","","40672"
"Portugal"," 2009","37.610","40095","","","40095"
"Portugal"," 2008","36.549","38932","","","38932"
"Portugal"," 2007","35.657","37904","","","37904"
"Portugal"," 2006","34.834","36924","","","36924"
"Portugal"," 2005","34.203","36138","","","36138"
"Portugal"," 2004","33.446","35213","","","35213"
"Portugal"," 2003","32.840","34440","","","34440"
"Portugal"," 2002","32.317","33751","","","33751"
"Qatar"," 2017","0.008","2","","","2"
"Qatar"," 2016","27.831","7152","","","7152"
"Qatar"," 2014","17.971","4267","","","4267"
"Qatar"," 2010","38.877","6919","","","6919"
"Qatar"," 2009","32.223","5126","","","5126"
"Qatar"," 2008","33.182","4610","","","4610"
"Qatar"," 2006","22.892","2313","","","2313"
"Qatar"," 2005","24.858","2150","","","2150"
"Republic of Korea"," 2017","23.661","120630","","","120630"
"Republic of Korea"," 2016","23.124","117450","","","117450"
"Republic of Korea"," 2015","22.596","114322","","","114322"
"Republic of Korea"," 2014","22.168","111694","","","111694"
"Republic of Korea"," 2013","21.708","108909","","","108909"
"Republic of Korea"," 2012","20.843","104114","","","104114"
"Republic of Korea"," 2011","20.378","101370","","","101370"
"Republic of Korea"," 2010","19.836","98293","","","98293"
"Republic of Korea"," 2009","19.934","98434","","","98434"
"Republic of Korea"," 2008","19.319","95088","","","95088"
"Republic of Korea"," 2007","18.645","91475","","","91475"
"Republic of Korea"," 2006","18.041","88214","","","88214"
"Republic of Korea"," 2005","17.527","85369","","","85369"
"Republic of Korea"," 2004","16.907","81998","","","81998"
"Republic of Moldova"," 2015","32.002","13012","","","13012"
"Republic of Moldova"," 2014","25.389","10333","","","10333"
"Republic of Moldova"," 2013","25.619","10432","","","10432"
"Republic of Moldova"," 2012","24.695","10060","","","10060"
"Republic of Moldova"," 2011","24.673","10060","","","10060"
"Republic of Moldova"," 2010","24.390","9962","","","9962"
"Romania"," 2016","22.586","44670","","","44670"
"Romania"," 2013","26.324","52828","","","52828"
"Romania"," 2012","25.959","52362","","","52362"
"Romania"," 2011","25.207","51153","","","51153"
"Romania"," 2010","24.842","50778","","","50778"
"Romania"," 2002","19.718","43093","","","43093"
"Russian Federation"," 2016","40.139","577856","","","577856"
"Russian Federation"," 2015","39.632","570260","","","570260"
"Russian Federation"," 2014","41.531","597062","","","597062"
"Russian Federation"," 2013","40.153","576580","","","576580"
"Russian Federation"," 2012","40.276","577640","","","577640"
"Russian Federation"," 2011","42.426","607812","","","607812"
"Russian Federation"," 2010","23.984","343345","","","343345"
"Rwanda"," 2017","1.346","1643","1114","529",""
"Rwanda"," 2016","1.400","1668","1107","561",""
"Rwanda"," 2015","1.408","1638","1042","596",""
"Rwanda"," 2014","1.240","1407","834","573",""
"Rwanda"," 2013","0.998","1104","609","495",""
"Saint Kitts and Nevis"," 2015","25.230","137","","","137"
"Saint Kitts and Nevis"," 2001","10.652","49","","","49"
"Saint Kitts and Nevis"," 1999","10.268","46","","","46"
"Saint Kitts and Nevis"," 1998","10.384","46","","","46"
"Saint Kitts and Nevis"," 1997","10.959","48","","","48"
"Saint Kitts and Nevis"," 1996","11.060","48","","","48"
"Saint Kitts and Nevis"," 1995","10.723","46","","","46"
"Saint Kitts and Nevis"," 1994","9.198","39","","","39"
"Saint Kitts and Nevis"," 1993","7.656","32","","","32"
"Saint Kitts and Nevis"," 1992","7.488","31","","","31"
"Saint Kitts and Nevis"," 1991","6.829","28","","","28"
"Saint Kitts and Nevis"," 1990","6.863","28","","","28"
"Saint Lucia"," 2009","1.053","18","","","18"
"Saint Lucia"," 2008","1.596","27","","","27"
"Saint Lucia"," 2007","1.853","31","","","31"
"Saint Lucia"," 2005","5.070","83","","","83"
"Saint Lucia"," 2004","4.192","68","","","68"
"Saint Lucia"," 2003","4.658","75","","","75"
"Saint Lucia"," 2002","4.380","70","","","70"
"Saint Vincent and the Grenadines"," 2010","6.587","72","","","72"
"Saint Vincent and the Grenadines"," 2004","9.300","101","","","101"
"Saint Vincent and the Grenadines"," 2001","5.741","62","","","62"
"Saint Vincent and the Grenadines"," 2000","8.248","89","","","89"
"Saint Vincent and the Grenadines"," 1997","9.352","101","","","101"
"Samoa"," 2016","3.409","67","","",""
"Samoa"," 2013","4.822","92","","","92"
"Samoa"," 2012","3.805","72","72","",""
"Samoa"," 2010","3.437","64","","","64"
"Samoa"," 2008","4.632","85","","","85"
"Samoa"," 2005","2.779","50","","","50"
"Samoa"," 2003","2.814","50","","","50"
"Samoa"," 1999","6.904","120","","","120"
"San Marino"," 2014","61.468","201","","","201"
"San Marino"," 2013","50.774","164","","","164"
"San Marino"," 2012","51.411","164","","","164"
"San Marino"," 2011","49.206","155","","","155"
"Sao Tome and Principe"," 2015","3.200","63","","","63"
"Sao Tome and Principe"," 2004","5.329","81","","","81"
"Saudi Arabia"," 2016","23.900","77138","","","77138"
"Saudi Arabia"," 2014","25.770","79313","","","79313"
"Saudi Arabia"," 2012","24.588","71518","","","71518"
"Saudi Arabia"," 2011","24.633","69559","","","69559"
"Saudi Arabia"," 2010","24.070","66014","","","66014"
"Saudi Arabia"," 2009","20.736","55284","","","55284"
"Saudi Arabia"," 2008","20.584","53397","","","53397"
"Saudi Arabia"," 2001","6.789","14464","","","14464"
"Saudi Arabia"," 2000","7.200","14950","","","14950"
"Senegal"," 2016","0.692","1066","","","1066"
"Senegal"," 2015","2.018","3023","1843","",""
"Senegal"," 2013","3.103","4381","1116","3265",""
"Senegal"," 2008","0.607","741","","","741"
"Senegal"," 2004","0.542","594","","","594"
"Serbia"," 2016","31.250","27563","9026","18537",""
"Serbia"," 2014","24.649","21900","","","21900"
"Serbia"," 2013","24.941","22248","","","22248"
"Serbia"," 2012","24.913","22315","","","22315"
"Serbia"," 2011","24.920","22412","","","22412"
"Serbia"," 2010","24.714","22316","","","22316"
"Serbia"," 2009","22.974","20825","","","20825"
"Seychelles"," 2016","9.458","89","","",""
"Seychelles"," 2012","10.076","93","","","93"
"Seychelles"," 2011","11.656","107","","","107"
"Seychelles"," 2010","10.941","100","","","100"
"Seychelles"," 2009","11.319","103","","","103"
"Seychelles"," 2008","7.718","70","","","70"
"Seychelles"," 2007","10.078","91","","","91"
"Seychelles"," 2006","8.361","75","","","75"
"Seychelles"," 2005","11.725","104","","","104"
"Seychelles"," 2004","13.829","121","","","121"
"Sierra Leone"," 2011","0.250","165","79","86",""
"Sierra Leone"," 2010","0.211","136","","","136"
"Sierra Leone"," 2008","0.154","95","","","95"
"Sierra Leone"," 2004","0.309","168","","","168"
"Singapore"," 2016","23.063","12967","7920","5047",""
"Singapore"," 2014","20.410","11120","","","11120"
"Singapore"," 2013","19.286","10339","","","10339"
"Singapore"," 2012","18.300","9646","","","9646"
"Singapore"," 2011","17.523","9070","","","9070"
"Singapore"," 2010","17.380","8819","","","8819"
"Singapore"," 2009","16.762","8323","","","8323"
"Singapore"," 2008","16.163","7841","","","7841"
"Singapore"," 2007","15.603","7384","","","7384"
"Singapore"," 2006","15.029","6931","","","6931"
"Singapore"," 2005","15.026","6748","","","6748"
"Singapore"," 2004","14.856","6492","","","6492"
"Singapore"," 2003","15.014","6380","","","6380"
